GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.84	0.84	0.87	0.76	0.94	-91	-77	-14	2	-1
01003	0.88	0.83	1.08	1.23	0.8	-350	-392	21	20	1
01005	1.02	0.85	1.07	1.89	0.81	-9	-19	5	5	0
01007	1.02	0.99	1.11	0.94	3.33	-14	-18	1	2	1
01009	0.97	0.92	1.11	1.32	1.34	-51	-70	1	16	0
01011	1.13	0.91	1.07	1.79	1.05	14	-2	9	7	0
01013	0.91	0.86	0.92	1.88	0.95	-17	-22	2	2	0
01015	0.87	0.81	0.96	1.29	1.14	-53	-106	30	17	6
01017	0.91	0.85	0.89	2.87	0.86	-46	-41	-12	8	0
01019	0.91	0.85	1.48	1.22	4.36	-45	-52	2	2	4
01021	0.97	0.9	1.02	1.62	1.04	-15	-29	-1	15	-1
01023	0.95	0.85	1.03	3.33	0.53	-14	-15	0	1	0
01025	0.96	0.92	0.99	1.32	0.44	-20	-14	-7	2	-1
01027	0.89	0.85	0.99	1.27	0.82	-20	-18	-3	1	0
01029	1.05	1.0	1.17	2.49	0.57	-17	-20	0	4	0
01031	0.93	0.85	1.01	1.32	1.06	-57	-68	1	8	2
01033	0.92	0.9	0.95	1.07	0.75	-54	-54	-1	3	-1
01035	1.01	1.06	0.89	2.35	3.8	-10	-5	-7	2	0
01037	0.84	0.78	0.94	1.04	1.0	-36	-20	-15	0	-1
01039	1.03	0.96	1.29	1.35	1.31	-8	-21	10	3	0
01041	0.94	0.91	0.97	1.9	0.36	-18	-15	-4	2	0
01043	0.99	0.94	1.62	1.54	1.13	-30	-65	9	22	3
01045	1.04	1.04	0.99	1.23	1.05	19	-2	6	14	1
01047	0.92	0.91	0.92	1.64	0.68	-21	-12	-10	0	0
01049	0.95	0.83	1.25	1.41	0.96	-70	-121	4	48	-1
01051	0.85	0.82	0.89	1.09	1.12	-124	-115	-19	8	1
01053	1.1	1.04	1.16	1.24	1.03	8	-12	16	3	0
01055	0.91	0.83	1.02	1.84	0.99	-149	-186	4	33	0
01057	0.98	0.84	1.37	1.12	31.6	-17	-29	5	1	6
01059	1.14	0.96	1.59	1.74	0.81	4	-34	0	38	0
01061	0.94	0.9	1.0	1.25	1.71	-34	-36	1	1	0
01063	1.05	1.3	0.99	2.0	4.62	4	-1	4	1	0
01065	1.03	0.9	1.06	2.57	1.85	10	-4	12	1	0
01067	0.86	0.85	0.85	0.94	1.98	-31	-22	-11	1	1
01069	0.95	0.87	1.07	1.35	1.11	-56	-114	40	14	4
01071	0.9	0.85	1.72	1.2	0.96	-68	-78	8	3	-1
01073	0.92	0.85	0.91	1.84	0.91	-13	-202	15	176	-3
01075	0.97	0.91	1.26	1.8	1.24	-14	-16	1	1	0
01077	0.79	0.76	0.85	1.26	0.71	-112	-132	10	11	-1
01079	0.89	0.91	0.84	0.72	1.97	-57	-47	-6	-5	1
01081	0.72	0.66	0.8	1.06	0.93	-112	-90	-32	18	-8
01083	0.86	0.82	0.86	1.27	0.75	-159	-147	-28	25	-10
01085	0.94	0.9	0.94	1.7	0.45	-6	-4	-2	0	0
01087	0.65	0.95	0.6	1.01	0.65	-24	-2	-22	1	-1
01089	0.87	0.84	0.88	1.26	0.81	-263	-347	42	63	-22
01091	1.0	1.01	0.98	1.15	1.71	-15	-2	-15	0	0
01093	0.87	0.82	1.66	1.21	2.03	-48	-52	3	0	1
01095	1.2	0.95	2.14	2.22	2.21	59	-95	22	127	5
01097	0.96	0.89	1.03	1.01	1.21	88	-192	233	28	20
01099	0.79	0.77	0.83	0.59	0.81	-44	-25	-17	-2	0
01101	0.96	0.85	0.92	2.69	1.1	45	-105	58	91	1
01103	1.01	0.89	1.11	1.62	1.63	-38	-124	17	63	6
01105	0.8	0.7	0.81	1.59	1.5	-8	-3	-6	1	0
01107	0.82	0.81	0.86	0.59	0.35	-39	-24	-11	-4	0
01109	0.67	0.59	0.75	0.81	0.69	-2	-9	5	1	1
01111	0.98	0.95	0.99	1.21	1.79	-22	-24	-1	2	1
01113	1.02	1.03	0.9	1.8	1.61	33	12	-11	26	6
01115	0.93	0.92	0.98	1.1	0.93	-103	-90	-8	-3	-3
01117	0.85	0.81	0.75	1.38	1.07	-407	-397	-63	48	5
01119	0.83	0.81	0.84	1.47	0.5	1	6	-6	1	1
01121	0.81	0.8	0.8	1.32	0.78	-147	-108	-34	3	-8
01123	0.93	0.9	0.92	2.04	0.8	-49	-50	-3	4	0
01125	0.75	0.64	0.83	1.78	0.79	-71	-160	12	67	10
01127	1.0	0.93	1.04	2.76	1.51	-25	-53	5	21	2
01129	1.05	1.08	1.08	0.95	0.58	-10	-11	0	2	-1
01131	1.07	0.84	1.1	3.72	2.65	1	-4	4	1	0
01133	0.97	0.9	4.57	1.23	2.57	-24	-31	5	2	1
02013	0.37	1.12	1.02	0.53	0.09	-18	0	0	-5	-13
02016	0.63	1.13	1.04	0.87	0.33	-16	-1	0	-3	-13
02020	0.97	0.81	1.36	1.12	1.19	296	-108	105	181	118
02050	1.56	1.03	1.01	1.66	0.92	103	1	0	103	0
02060	1.41	0.74	1.5	2.19	0.84	2	-1	0	3	0
02063	1.09	1.03	0.44	1.47	0.83	6	1	0	6	-1
02066	1.24	1.17	0.0	1.25	3.16	7	3	0	3	1
02068	0.68	0.79	0.0	0.46	0.0	-7	-5	0	0	-2
02070	1.57	0.82	1.2	1.76	1.33	29	-1	0	30	0
02090	1.05	0.97	1.41	1.18	1.12	223	88	43	75	17
02100	0.81	0.8	1.04	0.95	0.0	-2	-3	0	0	0
02105	1.12	0.98	1.04	1.3	0.0	1	-2	0	3	0
02110	0.81	0.72	1.38	1.14	0.62	-24	-40	2	21	-6
02122	1.04	0.96	1.75	1.39	1.03	10	-15	3	26	-3
02130	0.84	0.78	2.1	1.05	0.57	-7	-11	1	8	-5
02150	0.99	1.01	2.0	1.33	0.63	20	12	2	11	-5
02158	2.11	2.46	46.1	2.06	5.15	75	3	1	70	1
02164	1.29	1.34	0.97	1.31	0.74	4	2	0	5	-3
02170	1.05	0.98	1.87	1.33	1.09	76	2	12	57	4
02180	1.52	1.2	1.39	1.59	1.73	47	1	0	45	1
02185	1.52	1.05	1.11	1.73	1.14	39	-1	0	38	2
02188	1.75	1.14	1.04	1.84	1.91	50	2	-1	48	1
02195	0.95	0.88	0.22	1.38	0.88	0	-1	0	2	0
02198	0.89	0.83	2.58	0.94	0.59	-2	-3	0	1	0
02220	0.7	0.67	1.07	0.86	0.51	-11	-10	0	2	-3
02230	0.57	0.61	0.67	0.25	0.25	-3	-2	0	-1	0
02240	1.38	1.3	1.69	1.96	0.35	18	10	1	9	-1
02275	0.93	0.94	2.4	0.92	0.58	-4	-4	0	0	-1
02282	1.04	0.76	6.15	1.35	0.18	1	0	0	1	0
02290	1.46	1.31	3.73	1.49	0.37	20	3	1	17	0
04001	1.09	0.97	2.05	1.1	0.87	78	-7	4	81	0
04003	1.05	0.91	1.11	1.19	1.01	101	-31	21	109	3
04005	0.64	0.46	0.61	0.93	0.43	34	-97	5	122	3
04007	1.1	0.81	1.46	1.35	2.43	32	-46	0	73	6
04009	1.15	0.96	1.57	1.34	1.83	71	4	3	61	3
04011	1.25	1.14	1.55	1.33	0.75	24	3	2	19	0
04012	1.12	0.87	0.97	1.25	1.14	16	-14	0	29	1
04013	0.89	0.72	1.11	1.09	0.8	-1900	-5373	731	3104	-362
04015	0.93	0.86	1.26	1.12	0.82	-133	-203	10	65	-6
04017	1.18	0.96	1.79	1.3	0.77	144	-23	8	162	-2
04019	0.83	0.64	1.17	0.99	0.67	-216	-944	166	615	-53
04021	0.98	0.84	1.11	1.15	0.84	60	-315	38	355	-17
04023	1.11	1.22	1.29	1.1	1.08	27	3	2	22	1
04025	0.88	0.81	1.11	1.12	0.71	-237	-295	4	70	-15
04027	1.19	0.95	1.36	1.25	1.1	402	-6	23	382	3
05001	1.08	0.98	1.14	2.6	1.26	5	-8	7	6	0
05003	0.99	0.92	1.11	1.15	0.62	-25	-24	0	0	0
05005	0.91	0.88	1.39	1.27	1.56	-39	-43	1	2	1
05007	0.98	0.88	1.34	1.17	1.33	65	-184	32	129	89
05009	1.03	1.03	1.19	1.22	0.57	-11	-14	1	3	-1
05011	1.1	0.91	1.18	1.55	0.53	1	-5	0	6	0
05013	0.77	0.74	0.69	1.84	0.0	-10	-10	-1	2	0
05015	1.05	0.93	1.78	1.22	1.86	-6	-26	1	11	8
05017	1.1	0.69	1.33	1.26	0.62	-7	-13	5	1	0
05019	0.7	0.58	0.76	1.51	3.25	-10	-18	1	3	4
05021	0.99	0.96	2.6	1.2	1.0	-9	-10	2	0	-1
05023	0.88	0.87	2.18	0.76	0.89	-26	-21	1	-2	-4
05025	0.88	0.83	1.22	0.73	0.0	-14	-13	0	0	0
05027	0.85	0.81	0.91	1.03	0.77	2	-4	4	2	0
05029	1.03	0.98	1.18	1.31	1.68	-4	-8	2	1	1
05031	0.94	0.82	1.22	1.5	0.9	95	-61	119	35	2
