FIPS,CBSACode,CSACode,CBSATitle,CSATitle
46013,10100,nan,"Aberdeen, SD",nan
46045,10100,nan,"Aberdeen, SD",nan
53027,10140,nan,"Aberdeen, WA",nan
48059,10180,nan,"Abilene, TX",nan
48253,10180,nan,"Abilene, TX",nan
48441,10180,nan,"Abilene, TX",nan
40123,10220,nan,"Ada, OK",nan
26091,10300,220,"Adrian, MI","Detroit-Warren-Ann Arbor, MI"
72003,10380,nan,"Aguadilla-Isabela, PR",nan
72005,10380,nan,"Aguadilla-Isabela, PR",nan
72011,10380,nan,"Aguadilla-Isabela, PR",nan
72071,10380,nan,"Aguadilla-Isabela, PR",nan
72081,10380,nan,"Aguadilla-Isabela, PR",nan
72099,10380,nan,"Aguadilla-Isabela, PR",nan
72117,10380,nan,"Aguadilla-Isabela, PR",nan
72131,10380,nan,"Aguadilla-Isabela, PR",nan
72141,10380,nan,"Aguadilla-Isabela, PR",nan
39133,10420,184,"Akron, OH","Cleveland-Akron-Canton, OH"
39153,10420,184,"Akron, OH","Cleveland-Akron-Canton, OH"
35035,10460,nan,"Alamogordo, NM",nan
13095,10500,nan,"Albany, GA",nan
13177,10500,nan,"Albany, GA",nan
13273,10500,nan,"Albany, GA",nan
13321,10500,nan,"Albany, GA",nan
41043,10540,440,"Albany-Lebanon, OR","Portland-Vancouver-Salem, OR-WA"
36001,10580,104,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY"
36083,10580,104,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY"
36091,10580,104,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY"
36093,10580,104,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY"
36095,10580,104,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY"
37167,10620,172,"Albemarle, NC","Charlotte-Concord, NC-SC"
27047,10660,nan,"Albert Lea, MN",nan
01095,10700,nan,"Albertville, AL",nan
35001,10740,106,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM"
35043,10740,106,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM"
35057,10740,106,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM"
35061,10740,106,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM"
01037,10760,388,"Alexander City, AL","Montgomery-Selma-Alexander City, AL"
01123,10760,388,"Alexander City, AL","Montgomery-Selma-Alexander City, AL"
22043,10780,nan,"Alexandria, LA",nan
22079,10780,nan,"Alexandria, LA",nan
27041,10820,nan,"Alexandria, MN",nan
48131,10860,204,"Alice, TX","Corpus Christi-Kingsville-Alice, TX"
48249,10860,204,"Alice, TX","Corpus Christi-Kingsville-Alice, TX"
34041,10900,nan,"Allentown-Bethlehem-Easton, PA-NJ",nan
42025,10900,nan,"Allentown-Bethlehem-Easton, PA-NJ",nan
42077,10900,nan,"Allentown-Bethlehem-Easton, PA-NJ",nan
42095,10900,nan,"Allentown-Bethlehem-Easton, PA-NJ",nan
26057,10940,394,"Alma, MI","Mount Pleasant-Alma, MI"
26007,10980,nan,"Alpena, MI",nan
42013,11020,107,"Altoona, PA","Altoona-Huntingdon, PA"
40065,11060,nan,"Altus, OK",nan
48011,11100,108,"Amarillo, TX","Amarillo-Pampa-Borger, TX"
48065,11100,108,"Amarillo, TX","Amarillo-Pampa-Borger, TX"
48359,11100,108,"Amarillo, TX","Amarillo-Pampa-Borger, TX"
48375,11100,108,"Amarillo, TX","Amarillo-Pampa-Borger, TX"
48381,11100,108,"Amarillo, TX","Amarillo-Pampa-Borger, TX"
13249,11140,nan,"Americus, GA",nan
13261,11140,nan,"Americus, GA",nan
19015,11180,218,"Ames, IA","Des Moines-Ames-West Des Moines, IA"
19169,11180,218,"Ames, IA","Des Moines-Ames-West Des Moines, IA"
36057,11220,104,"Amsterdam, NY","Albany-Schenectady, NY"
02020,11260,nan,"Anchorage, AK",nan
02170,11260,nan,"Anchorage, AK",nan
48003,11380,nan,"Andrews, TX",nan
18151,11420,258,"Angola, IN","Fort Wayne-Huntington-Auburn, IN"
26161,11460,220,"Ann Arbor, MI","Detroit-Warren-Ann Arbor, MI"
01015,11500,nan,"Anniston-Oxford, AL",nan
55015,11540,118,"Appleton, WI","Appleton-Oshkosh-Neenah, WI"
55087,11540,118,"Appleton, WI","Appleton-Oshkosh-Neenah, WI"
12027,11580,412,"Arcadia, FL","North Port-Sarasota, FL"
40019,11620,nan,"Ardmore, OK",nan
40085,11620,nan,"Ardmore, OK",nan
72013,11640,490,"Arecibo, PR","San Juan-Bayamón, PR"
72027,11640,490,"Arecibo, PR","San Juan-Bayamón, PR"
72065,11640,490,"Arecibo, PR","San Juan-Bayamón, PR"
72115,11640,490,"Arecibo, PR","San Juan-Bayamón, PR"
05019,11660,nan,"Arkadelphia, AR",nan
37021,11700,120,"Asheville, NC","Asheville-Marion-Brevard, NC"
37087,11700,120,"Asheville, NC","Asheville-Marion-Brevard, NC"
37089,11700,120,"Asheville, NC","Asheville-Marion-Brevard, NC"
37115,11700,120,"Asheville, NC","Asheville-Marion-Brevard, NC"
39005,11740,360,"Ashland, OH","Mansfield-Ashland-Bucyrus, OH"
39007,11780,184,"Ashtabula, OH","Cleveland-Akron-Canton, OH"
41007,11820,nan,"Astoria, OR",nan
20005,11860,312,"Atchison, KS","Kansas City-Overland Park-Kansas City, MO-KS"
39009,11900,nan,"Athens, OH",nan
47107,11940,174,"Athens, TN","Chattanooga-Cleveland-Dalton, TN-GA"
48213,11980,206,"Athens, TX","Dallas-Fort Worth, TX-OK"
13059,12020,122,"Athens-Clarke County, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13195,12020,122,"Athens-Clarke County, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13219,12020,122,"Athens-Clarke County, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13221,12020,122,"Athens-Clarke County, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13013,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13015,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13035,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13045,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13057,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13063,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13067,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13077,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13085,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13089,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13097,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13113,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13117,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13121,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13135,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13143,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13149,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13151,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13159,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13171,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13199,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13211,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13217,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13223,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13227,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13231,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13247,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13255,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
13297,12060,122,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
34001,12100,428,"Atlantic City-Hammonton, NJ","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
01053,12120,426,"Atmore, AL","Pensacola-Ferry Pass, FL-AL"
18033,12140,258,"Auburn, IN","Fort Wayne-Huntington-Auburn, IN"
36011,12180,532,"Auburn, NY","Syracuse-Auburn, NY"
01081,12220,194,"Auburn-Opelika, AL","Columbus-Auburn-Opelika, GA-AL"
13033,12260,nan,"Augusta-Richmond County, GA-SC",nan
13073,12260,nan,"Augusta-Richmond County, GA-SC",nan
13181,12260,nan,"Augusta-Richmond County, GA-SC",nan
13189,12260,nan,"Augusta-Richmond County, GA-SC",nan
13245,12260,nan,"Augusta-Richmond County, GA-SC",nan
45003,12260,nan,"Augusta-Richmond County, GA-SC",nan
45037,12260,nan,"Augusta-Richmond County, GA-SC",nan
23011,12300,nan,"Augusta-Waterville, ME",nan
27099,12380,462,"Austin, MN","Rochester-Austin, MN"
48021,12420,nan,"Austin-Round Rock-Georgetown, TX",nan
48055,12420,nan,"Austin-Round Rock-Georgetown, TX",nan
48209,12420,nan,"Austin-Round Rock-Georgetown, TX",nan
48453,12420,nan,"Austin-Round Rock-Georgetown, TX",nan
48491,12420,nan,"Austin-Round Rock-Georgetown, TX",nan
13087,12460,nan,"Bainbridge, GA",nan
06029,12540,nan,"Bakersfield, CA",nan
24003,12580,548,"Baltimore-Columbia-Towson, MD","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
24005,12580,548,"Baltimore-Columbia-Towson, MD","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
24013,12580,548,"Baltimore-Columbia-Towson, MD","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
24025,12580,548,"Baltimore-Columbia-Towson, MD","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
24027,12580,548,"Baltimore-Columbia-Towson, MD","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
24035,12580,548,"Baltimore-Columbia-Towson, MD","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
24510,12580,548,"Baltimore-Columbia-Towson, MD","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
23019,12620,nan,"Bangor, ME",nan
55111,12660,357,"Baraboo, WI","Madison-Janesville-Beloit, WI"
21179,12680,350,"Bardstown, KY","Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN"
25001,12700,148,"Barnstable Town, MA","Boston-Worcester-Providence, MA-RI-NH-CT"
50023,12740,162,"Barre, VT","Burlington-South Burlington-Barre, VT"
40147,12780,538,"Bartlesville, OK","Tulsa-Muskogee-Bartlesville, OK"
36037,12860,464,"Batavia, NY","Rochester-Batavia-Seneca Falls, NY"
05063,12900,nan,"Batesville, AR",nan
05135,12900,nan,"Batesville, AR",nan
22005,12940,nan,"Baton Rouge, LA",nan
22007,12940,nan,"Baton Rouge, LA",nan
22033,12940,nan,"Baton Rouge, LA",nan
22037,12940,nan,"Baton Rouge, LA",nan
22047,12940,nan,"Baton Rouge, LA",nan
22063,12940,nan,"Baton Rouge, LA",nan
22077,12940,nan,"Baton Rouge, LA",nan
22091,12940,nan,"Baton Rouge, LA",nan
22121,12940,nan,"Baton Rouge, LA",nan
22125,12940,nan,"Baton Rouge, LA",nan
26025,12980,310,"Battle Creek, MI","Kalamazoo-Battle Creek-Portage, MI"
26017,13020,474,"Bay City, MI","Saginaw-Midland-Bay City, MI"
48321,13060,288,"Bay City, TX","Houston-The Woodlands, TX"
31067,13100,339,"Beatrice, NE","Lincoln-Beatrice, NE"
48199,13140,nan,"Beaumont-Port Arthur, TX",nan
48245,13140,nan,"Beaumont-Port Arthur, TX",nan
48361,13140,nan,"Beaumont-Port Arthur, TX",nan
55027,13180,376,"Beaver Dam, WI","Milwaukee-Racine-Waukesha, WI"
54019,13220,nan,"Beckley, WV",nan
54081,13220,nan,"Beckley, WV",nan
18093,13260,144,"Bedford, IN","Bloomington-Bedford, IN"
48025,13300,nan,"Beeville, TX",nan
39091,13340,198,"Bellefontaine, OH","Columbus-Marion-Zanesville, OH"
53073,13380,nan,"Bellingham, WA",nan
27007,13420,nan,"Bemidji, MN",nan
41017,13460,140,"Bend, OR","Bend-Prineville, OR"
45069,13500,nan,"Bennettsville, SC",nan
50003,13540,nan,"Bennington, VT",nan
33007,13620,nan,"Berlin, NH",nan
26107,13660,266,"Big Rapids, MI","Grand Rapids-Kentwood-Muskegon, MI"
48227,13700,nan,"Big Spring, TX",nan
51195,13720,nan,"Big Stone Gap, VA",nan
51720,13720,nan,"Big Stone Gap, VA",nan
30009,13740,nan,"Billings, MT",nan
30095,13740,nan,"Billings, MT",nan
30111,13740,nan,"Billings, MT",nan
36007,13780,nan,"Binghamton, NY",nan
36107,13780,nan,"Binghamton, NY",nan
01007,13820,142,"Birmingham-Hoover, AL","Birmingham-Hoover-Talladega, AL"
01009,13820,142,"Birmingham-Hoover, AL","Birmingham-Hoover-Talladega, AL"
01021,13820,142,"Birmingham-Hoover, AL","Birmingham-Hoover-Talladega, AL"
01073,13820,142,"Birmingham-Hoover, AL","Birmingham-Hoover-Talladega, AL"
01115,13820,142,"Birmingham-Hoover, AL","Birmingham-Hoover-Talladega, AL"
01117,13820,142,"Birmingham-Hoover, AL","Birmingham-Hoover-Talladega, AL"
38015,13900,nan,"Bismarck, ND",nan
38059,13900,nan,"Bismarck, ND",nan
38065,13900,nan,"Bismarck, ND",nan
16011,13940,292,"Blackfoot, ID","Idaho Falls-Rexburg-Blackfoot, ID"
51071,13980,nan,"Blacksburg-Christiansburg, VA",nan
51121,13980,nan,"Blacksburg-Christiansburg, VA",nan
51155,13980,nan,"Blacksburg-Christiansburg, VA",nan
51750,13980,nan,"Blacksburg-Christiansburg, VA",nan
17113,14010,145,"Bloomington, IL","Bloomington-Pontiac, IL"
18105,14020,144,"Bloomington, IN","Bloomington-Bedford, IN"
18119,14020,144,"Bloomington, IN","Bloomington-Bedford, IN"
42037,14100,146,"Bloomsburg-Berwick, PA","Bloomsburg-Berwick-Sunbury, PA"
42093,14100,146,"Bloomsburg-Berwick, PA","Bloomsburg-Berwick-Sunbury, PA"
51021,14140,nan,"Bluefield, WV-VA",nan
