id	kids	mothers	
21205	67.7499543138	529.190408243
20901	53.1872420726	317.905438349
30905	14.7430740347	87.8825527248
12104	83.9340983648	759.847885945
80110	2.43997850698	23.8913726346
30907	67.6283261594	417.459571298
29999	3.24762803602	81.1557698086
20504	32.2629339498	210.258922096
12703	117.49642304	693.015744867
12203	130.792610011	877.07646316
30906	35.9178022577	195.961371313
90102	0.064721303189	1.42649376551
31102	21.4229068049	126.480038705
50702	11.8686544326	167.658210558
21001	23.165331133	142.852637434
79999	1.45108663573	34.4377259247
11901	129.027684035	611.675855703
30602	65.1169575717	433.664998259
50402	9.81915195719	69.3325462623
12602	63.7497357397	550.953194703
50701	93.5449221607	435.920582745
30801	23.8231233703	124.96981662
51102	4.95652626939	40.5515300763
30604	7.25622966737	52.0001686158
20902	46.6345318194	509.153336251
20801	34.8002647413	262.041222144
12502	24.7572985417	209.43222237
20804	9.86755504083	136.094926194
30103	35.0128466231	200.841484559
40403	21.9109594268	207.862656755
30903	27.678661729	244.005709942
31203	13.3423946688	119.537403681
10304	23.5186557202	132.194512357
70101	14.0170004192	166.429883456
50201	32.7917249255	202.699031184
60302	7.74017979006	40.9406761864
12303	15.5452367469	95.5307233089
20301	6.9259519224	35.9418840869
20201	40.5229556041	221.236282766
31901	29.8989964365	187.199642054
69797	0.0	0.0
50602	40.358568458	414.623335548
11203	65.4372289417	181.896524463
12601	7.80969467361	102.174880724
40202	69.0083577979	258.724223642
40107	6.94635962034	89.1424653749
20101	43.4302560263	255.570981734
31402	55.7439650925	250.605082265
30902	34.630939568	190.92462001
20903	16.7826739003	121.483802863
12003	66.3389967007	950.740616771
20604	67.0422204384	1765.2405282
20501	21.1143385658	103.697561739
21203	139.408873359	734.410830288
21503	16.7158642179	102.137740938
19797	0.215751851539	1.29451110923
70205	22.3313708028	106.008121164
21102	5.50991023658	30.5669823961
21104	19.0192515603	119.522066579
11702	33.2467947458	413.319447086
40301	6.73781501597	71.0205254355
10302	28.443175256	139.869455862
31105	29.364136545	170.279809922
40106	6.34942868892	51.4476573665
50903	11.5879450743	58.0533438407
12201	31.4883512195	288.173231028
31905	13.3697133416	91.6872655106
30202	33.3519916027	273.004325187
31103	57.2005008515	285.688340565
50604	77.4581026068	354.087053559
12504	80.3491400444	621.52551447
60303	1.82111733818	10.5725554844
50403	57.7621087189	473.557153995
12103	36.7321940408	281.824362308
20202	21.0357788177	107.611905839
20601	36.4664194935	508.396247691
12802	30.6219721163	269.898147718
20503	24.9264874067	115.343421915
12403	66.6401499204	445.045890559
21301	127.571241135	861.297208217
20502	21.6667978851	91.820879872
70202	2.34775085239	21.7732142141
30201	12.1863624729	76.9542427575
40402	18.9710581471	124.977704443
30304	13.7338954793	163.348390244
20904	122.443116095	647.692289712
31001	66.3196049502	399.425618159
50502	140.515258636	914.144945124
11504	10.2773669814	99.442709004
80107	25.3757494362	226.744659782
40105	7.66656937679	96.2906017565
31606	16.2522557069	88.1288100852
12202	44.7933653641	160.300413126
50503	125.372890558	634.867205415
50401	26.2570026907	302.349102459
40204	67.6975156626	401.935689257
50704	42.9099510496	261.587594891
60203	12.7250470472	74.4456048129
20802	60.5898483543	539.049683886
40303	11.4990957222	90.7698142976
80106	7.30354653565	86.9433429889
51104	31.762889872	166.314419713
11402	15.1348906088	88.21192404
30404	21.1336260813	147.272807792
21303	65.3017606766	549.420471023
20603	32.7571897842	381.883506719
50103	10.0417492781	44.2851782874
31601	20.9443085479	121.867421881
21602	15.085450675	54.0470554896
10102	21.9719097669	176.165633516
20701	42.6845116583	608.471545875
12402	0.0	0.0
30301	20.1932562463	248.778731226
10604	13.2447414017	77.6399268314
39999	3.9548833468	96.7395505334
21103	29.8800362448	231.632316984
70204	13.8518368097	33.8912222895
30302	36.1339859334	488.457532159
30703	16.7537910896	73.5518538093
11101	31.3036489439	185.298457757
21003	37.9677216266	305.788244351
31605	24.3935339959	105.34903406
10502	9.26111463761	52.3335160843
10104	24.4635484665	122.87433281
30305	24.8714770782	215.95336943
11601	84.1247641286	468.06720149
21004	15.4691659108	76.9948642728
40302	25.4585309943	227.61382001
30701	32.3365649836	164.700233124
30702	19.861870963	121.774204195
31301	9.69443121666	48.4674852457
20403	28.4739589327	154.856484864
30803	64.2539913659	350.364336216
10105	14.0442146182	76.7731722315
50607	14.4162909941	202.179792923
10804	21.062404606	133.140567054
80104	45.6111813718	349.362282175
30502	32.6127407825	248.639024483
51003	24.3255238696	140.890580023
20605	53.9130668564	961.146440964
11603	91.0969561533	493.208482701
60202	9.99799247717	42.6963804364
31603	16.24488127	153.324148999
10501	24.7748634706	94.5799263328
12405	29.851948831	166.949277961
10901	26.7548833013	153.011178286
51101	8.47240931957	53.3786708416
70103	17.0607061699	87.1939835483
21105	47.3636351699	287.745479125
50302	57.8595086548	954.624123122
31106	46.7103382223	272.20116166
31902	21.0322037979	109.591396807
40504	5.02536172574	35.4679272737
11303	33.9412924899	199.055622417
80109	11.9286256553	90.2291050407
40203	31.9336884856	213.534038692
31305	18.5734548299	132.515861678
31304	22.0514228591	146.834618199
20703	22.7538176963	252.365633429
60103	18.0511288366	128.67148298
21202	62.8556489076	501.715560988
89797	0.0	0.0
11801	92.996464198	1324.01920524
31503	9.38608802572	40.7016828793
31904	18.0570025131	112.363371692
40703	27.153137077	125.960276358
99999	0.0215751851539	0.129451110923
11501	43.872184092	390.103662183
40401	48.407188603	297.865381106
31701	74.2782899337	392.04339302
21201	69.7228554391	248.192748325
50605	19.9429481462	124.784158704
80111	0.215751851539	6.63365026199
20102	9.98265831152	64.1942289656
10802	19.6591627607	99.1996731577
21005	106.96679334	555.541464165
20302	70.6926963996	405.065299738
10601	39.4590017218	206.682275481
30910	19.8259776857	446.177664871
11201	51.3263698376	251.282313728
70102	44.5608856692	244.735041331
19999	2.75319199448	120.674975411
30403	29.1312790188	307.391239357
31201	27.7087749923	152.066565362
80105	14.3219221695	296.767667232
31004	74.9761067778	432.661860399
90101	0.0216077016015	7.95398778986
30805	33.4760100424	182.098642258
60106	6.18178412157	35.4637537527
21302	60.756281592	271.084354389
40601	27.5782201244	131.636897668
11503	9.50615272813	57.565483905
12301	31.1888354745	211.799265712
89999	0.0	4.06394297117
21305	199.742771143	994.077038236
40702	18.9395847026	112.980577945
11102	29.5060266765	118.308954411
12501	54.7510538729	411.665327787
10401	16.0998932105	99.0743554606
40602	15.122553663	88.6590033944
10702	0.0	0.0
31801	16.1682717333	84.0198990226
11903	51.9571159561	465.760045773
50301	16.2502773574	210.879675411
40503	9.23066760768	45.3100364579
69999	0.194176666385	5.391160868
11802	116.769545295	1193.34035861
30504	18.9838958379	317.000108583
10903	17.4458283902	91.6661446642
11502	8.61399177675	51.7113498885
10704	51.2844675977	386.278055825
20103	8.02818886641	38.7814415094
31403	13.9987162884	83.4737381877
11004	37.0179886259	186.205773951
31303	5.62818978435	32.4468812916
50102	48.5104767707	259.503646872
20505	18.0347769826	103.163808851
10602	32.460593389	142.611935489
30306	18.7612740156	125.188425713
40304	80.8424746572	347.625435053
30904	6.03739308899	60.9633811423
30908	37.0627804759	192.518758732
10201	68.046633825	423.941762981
30303	18.7979070715	261.452922281
20402	18.3504706628	89.7628027118
31401	36.7950419945	146.498481143
11602	52.0374547144	318.607036427
20606	21.2849716983	504.999240008
11002	19.8766634448	89.8157845913
10703	40.4999051509	191.466750921
11302	6.76304424614	33.4970697802
30402	15.430357282	113.335774605
70203	18.5381752881	74.9914562232
10103	4.59499663333	47.9241130351
40205	20.6946796373	167.974863149
21703	15.7699440754	77.2994911826
40104	16.1882333932	80.6944269456
59999	4.79553690031	57.8803987863
12503	100.064472624	650.6370228
51001	35.0685619104	199.478897628
12401	23.9797078454	152.742449783
21502	25.018191498	134.569860567
79797	0.0359586419232	0.215751851539
40501	9.72432626738	55.4353074071
70201	22.8849061314	222.745312124
40101	5.82990201328	177.453506118
40102	19.977304877	123.781476187
60402	16.2344551535	79.8131617687
31501	23.2884990452	113.060265155
20602	14.9251987429	260.735785871
31202	50.318974794	303.260031057
21704	18.9781086333	107.52143952
60301	3.5844269339	21.3575684183
40502	5.01302412335	36.1640360877
21601	16.2420350677	78.1905789369
31607	14.0267509336	94.7005426351
21501	20.4727849173	110.570248189
60102	12.2335561742	83.9251851155
50901	25.1425749058	129.581811688
11904	130.229814285	1120.94174997
31302	32.6136273873	184.980262561
60105	12.807560493	137.64191143
39797	0.0	0.0
31502	26.3791959292	124.252221876
10202	48.5226411555	317.62317579
30401	8.72934230326	103.822825927
11202	30.1606790994	179.215484156
60104	13.9823023021	53.5995820705
80103	1.24811045129	7.75908663886
11301	28.6841588232	139.47164266
11103	42.1923426484	399.536080118
21402	57.6088130019	275.178919638
31003	54.1206803103	306.960456969
30605	17.7962651234	100.94946291
10902	7.06014740933	37.5190543171
50601	46.1496042441	215.386001052
40701	13.4352847388	76.9877266082
29797	0.0	0.0
90104	0.0	0.942201026955
31602	26.047516603	145.604162973
10805	16.0759260251	94.1528336199
80101	46.2681407224	412.473364868
20203	5.51929982294	24.4828103888
50501	50.8435233861	345.767202859
12701	118.136790137	730.126769344
30101	27.4133279031	133.651012908
10801	6.41427588232	52.0711047943
31903	19.8030365374	106.148862615
11401	38.0635917488	192.302801384
31002	31.6562215983	161.906408239
21002	12.7598274784	55.9882562343
40103	18.1061318787	79.6406341187
30909	28.7046390409	244.344823167
11001	14.9858000067	108.782102574
10303	28.1738290235	129.871598552
31608	4.78701220042	39.8599953944
10106	15.1608966417	80.5199506381
10301	20.3084756029	115.01266967
50603	32.5171636382	309.005746589
50902	24.9235605528	134.197738349
31104	18.607786945	110.595214102
21204	106.488274961	651.930735734
20607	41.786218655	670.614573678
10803	0.0	1.83532908376
60403	7.25679851166	36.4459161865
50606	17.5403582483	64.0907797341
10603	22.4757066193	144.389556256
12702	140.957168405	931.52621944
60201	35.5689739025	180.626310592
50703	29.912791312	167.989192612
20702	22.6603199105	149.894393066
30503	56.2158891228	627.953635054
30804	8.51856671441	46.7935338209
30601	22.0513155446	158.788103487
30102	19.9717888022	143.205776755
21304	120.942669861	806.497257722
49797	0.0	0.0
51002	23.5585033475	145.731078883
49999	1.8926329712	23.0601139722
59797	0.0287669135385	0.172601481231
11902	98.6581542408	642.631705827
11701	58.5418155702	428.405104477
12002	42.4460146924	338.600697398
51103	24.4251563983	166.193927703
30203	18.1686402657	160.395999563
21401	68.8366237401	426.088267637
30204	33.4189795115	149.304104452
20303	29.3317223429	131.476587067
60101	8.02711137507	47.5038294614
20401	25.0991362977	120.765113682
31802	72.8047648457	650.887946919
10503	30.7446909533	200.008064224
20803	65.366256511	364.395431074
12101	61.4980121848	554.59069684
40201	9.12841402771	61.9137254984
31101	6.80033442209	30.2948062773
50705	68.335331885	429.154594696
11703	103.907923273	2658.85251642
10402	32.0607630083	189.054792895
90103	0.0	3.55771483928
11003	24.2028519836	91.9438193529
30501	32.6607439978	1209.41737523
60401	14.3101772353	83.9050493846
30603	21.0987782038	94.1019252499
99797	0.0	0.0
21101	43.9312096166	368.619158658
21701	12.5230365595	63.0403182473
30901	36.4603358143	380.087043544
50101	24.3276218122	142.080376647
10701	36.880563732	194.032207938
70104	26.7637378332	148.516001796
21603	31.7907183453	169.057478059
12302	131.043534874	776.060113202
80108	10.074754505	35.0065954036
12102	62.212150295	271.740436988
12001	50.3434292297	481.508236396
12404	10.581540024	127.411408278
12801	63.3106663569	369.325013377
