id	kids	mothers	
21205	1656.64281148	14528.9041881
20901	2875.32408812	18370.5089757
30905	926.004466726	5723.68339988
12104	1826.82989692	16599.1289332
80110	94.9562943632	875.072808672
30907	3973.02000777	22031.5418796
29999	98.5890265741	1062.37656241
20504	1798.19353213	11864.5872517
12703	2114.39673911	11269.5655779
12203	3826.08127854	23919.5416853
30906	1800.83674699	11377.4643897
90102	16.4359225842	22.3183835956
31102	1227.13422758	6575.2648976
50702	815.854405392	6344.57643594
21001	1251.00262062	8348.70896049
79999	20.0574739765	314.448408279
11901	2340.35409298	12527.974033
30602	2312.55347627	15141.9400723
50402	882.45942703	6195.58709923
12602	1777.47938224	12519.2458181
50701	2793.20362844	17261.2149643
30801	1040.04412606	4860.91092458
51102	232.121038876	1362.71857204
30604	222.067845172	1762.82040087
20902	1689.74378041	13624.6614895
20801	2134.06573352	14195.8844159
12502	830.33763275	5021.08943954
20804	710.035358482	6113.68784853
30103	1866.09232017	11774.7807697
40403	1022.27751372	9212.68095491
30903	1148.00737575	9255.97620174
31203	494.854951481	3595.87233358
10304	1704.69972843	9449.88146829
70101	431.831356948	4259.63702815
50201	2296.23812555	14134.6185676
60302	432.038455022	2571.40126355
12303	1182.17998886	7232.79054382
20301	577.185029286	3128.72478738
20201	2543.18496658	16520.5646249
31901	1947.19475538	12308.9023787
69797	0.690632038325	4.14379222995
50602	1265.2826575	9903.16336827
11203	1995.11255709	12333.0422828
12601	514.036184856	3837.00273779
40202	2893.69010592	15303.5605812
40107	662.472114479	5798.24354145
20101	2786.79040545	18203.4598756
31402	2458.72733029	13654.7155887
30902	1183.79038095	8837.15629174
20903	1518.88088262	10866.935571
12003	1708.59941912	14338.954558
20604	929.913009982	17704.1681814
20501	1294.30892964	7593.2449693
21203	3753.41347516	20999.6525565
21503	812.342250599	4735.82043082
19797	2.24539680165	32.2494364855
70205	307.798042246	1751.46867182
21102	379.351476116	3410.26898866
21104	934.455082223	6643.00008311
11702	1026.62162589	10353.4265169
40301	510.628100295	5032.59470939
10302	1476.2828247	7695.01657784
31105	1508.41103338	9488.86846337
40106	447.533880594	4006.63053004
50903	549.885223644	2748.8063223
12201	1147.55562828	7942.30981609
31905	1011.69933217	5656.66585388
30202	1639.32171313	12104.1170818
31103	2056.40472616	11881.6818598
50604	2153.42567185	13284.910501
12504	1708.50027903	10183.6444598
60303	106.442743861	639.884415395
50403	3198.6236174	20183.7473069
12103	1696.47909531	12470.0606353
20202	1115.23828343	6401.21833062
20601	1669.16556765	18241.4850834
12802	2900.86174131	17990.3575221
20503	1347.8264546	7947.06085024
12403	3980.20235614	24433.0533549
21301	2266.77393774	15972.6762999
20502	977.447256932	5500.86796657
70202	67.5138494735	440.628861854
30201	963.558438014	6552.33835549
40402	1020.58662792	7955.19441019
30304	873.687026399	5736.56885484
20904	5133.44364435	29933.3994147
31001	1284.18124253	7759.9187646
50502	3778.36288281	29118.7791262
11504	835.419254602	5087.09512695
80107	2295.01925455	14233.543647
40105	562.595649726	5118.22744432
31606	1092.14768438	7215.6243474
12202	1415.19432207	8794.01023386
50503	5424.66745163	31578.4157618
50401	1567.63615031	11776.3776901
40204	2779.57726208	18639.5458858
50704	1726.85014396	13375.7740212
60203	794.577937094	5011.02499913
20802	3135.50394784	21325.7910979
40303	1315.32433146	9493.04657675
80106	425.521599588	4331.90145707
51104	1402.35296926	8028.02699855
11402	986.887296757	6208.81491027
30404	1425.65532668	9155.61528492
21303	1605.14620272	11918.9680917
20603	1209.90083867	11218.9763523
50103	486.590067164	2915.91725173
31601	1362.74612663	9348.62729878
21602	667.693477811	3870.6505721
10102	1416.57571456	9777.4821998
20701	2373.09510468	22404.8718539
12402	0.0	0.0
30301	1201.06581539	8676.94501625
10604	900.659425061	4933.45731466
39999	110.256277518	1525.05964927
21103	2566.93206105	17162.3403719
70204	161.506889846	799.40840297
30302	1367.1497054	13642.0081224
30703	1007.57903023	5580.33734568
11101	3114.28905142	19367.5383971
21003	1327.81542412	9187.60321605
31605	785.729701642	5717.38919554
10502	455.896891203	2947.05958618
10104	1264.57913301	8016.1443395
30305	876.15158809	6018.21542668
11601	2216.69957042	12798.2184446
21004	1116.07346657	7169.82157027
40302	1870.14717282	14116.6855587
30701	1313.66612769	6893.69907679
30702	1151.2476673	6207.62784873
31301	514.860666709	3617.73495561
20403	1832.01156012	10991.0681226
30803	3182.85090925	18695.9671843
10105	849.28825264	5195.3410955
50607	634.296443396	6075.54467613
10804	1692.92487954	10382.0113842
80104	1946.4112905	11685.5484102
30502	1078.42293917	8875.45813571
51003	1044.5411456	5175.13095422
20605	1828.33210192	21614.8919623
11603	2137.56042767	11039.9462222
60202	465.712616058	3114.3801867
31603	1103.23038704	9301.10752309
10501	679.028289492	3387.23734288
12405	1188.80629682	7701.36229446
10901	1600.1880143	9906.68113455
51101	415.185212476	2349.08465784
70103	548.815904523	3251.58808223
21105	3871.14957998	25443.228376
50302	1733.34504879	17441.5807602
31106	1735.73663044	10087.664402
31902	1095.58289671	6308.58882193
40504	461.463943893	2956.16378325
11303	2398.85139388	15157.2463941
80109	558.963950017	4418.89086733
40203	1225.75057598	8304.64191451
31305	1229.39784491	8605.20481577
31304	1732.27139228	10872.6516585
20703	1459.78689893	10664.7934613
60103	1325.34491826	8584.47681916
21202	2373.79635322	15882.8387069
89797	0.0	0.0
11801	2855.28456652	25096.868864
31503	498.162192332	2828.8041509
31904	1148.45549259	7478.02412777
40703	1594.51829627	9260.44403775
99999	0.668915532295	4.01349319377
11501	2042.14074777	14800.5624688
40401	2031.09636892	16201.8850244
31701	3850.1493492	24283.9868761
21201	2995.92134977	16771.8711061
50605	1296.04040226	8664.48460152
80111	6.09214906354	127.266207238
20102	616.095502465	3891.27575316
10802	1020.40614694	5831.32888823
21005	2474.46495663	14949.5765554
20302	4819.91671555	32262.1217424
10601	2612.03604631	14731.9873405
30910	452.261581239	5607.80856809
11201	1642.68458538	11148.1850413
70102	1264.07472163	7403.89583753
19999	111.04547991	1511.72643882
30403	749.590983818	8716.13485228
31201	1133.31222655	5355.45796665
80105	824.954800674	9833.00237992
31004	2690.67996781	13709.0163511
90101	7.05690771653	95.2077371847
30805	1886.00000994	10510.7611924
60106	408.346247197	2540.76727207
