id	mothers	kids
S12000006	69	17.4
S12000021	45.3	7.2
S12000028	45.6	10.4
S12000005	30.6	6.4
S12000044	199.4	64
S12000011	56.1	8.6
S12000023	5.2	1.2
S12000018	51.6	6
S12000033	1801.3	434.4
S12000041	55.7	10.8
S12000013	5.5	2.2
S12000030	108.1	13.8
S12000045	73	18.8
S12000017	132.20000000000002	18.2
S12000010	105.80000000000001	10.6
S12000020	42.5	6
S12000014	100.5	27
S12000015	372.2	64
S12000035	62.300000000000004	9.2
S12000027	11.5	1.6
S12000042	494.7	67.6
S12000029	218.60000000000002	57.2
S12000024	103.2	22.6
S12000008	39.8	8.4
S12000039	82.1	16.8
S12000038	250.3	60
S12000034	215	61.4
S12000040	168.9	58.4
S12000046	4039.7	860.6
S12000026	82.19999999999999	12.6
S12000019	61.5	15.8
S12000036	1773.8	396
IE011	1806.3000000000002	532.2
IE012	1281	414.4
IE013	1592.6	449
IE021	9948.5	2528.8
IE022	2382.7999999999997	741.2
IE023	1097	333.2
IE024	1227.3000000000002	371
IE025	2164.7	712
NI1	44.725	23.8
NI2	20.425	7.2
NI3	4.5	3.4
NI4	14.049999999999999	7.8
NI5	3.825	2.2
NI6	12.25	3
NI7	385.85	103.2
NI8	17.4	9
NI9	42.300000000000004	16.6
NI10	24.9	5.6
NI11	28.575	8.2
NI12	103.275	27.4
NI19	62.825	14
NI13	42.824999999999996	12.6
NI14	76.125	24.2
NI15	8.7	3.2
NI16	8.325	3.6
NI17	5.65	1.2
NI18	78.325	27.6
NI20	3.825	2.8
NI21	2.475	0.8
NI22	25.875	7.2
NI23	38.64999999999999	9.2
NI24	71.42500000000001	27.4
NI25	7.15	2
NI26	6.375	1.6
E06000005	146.75	51.25
E06000047	384	74.5
E06000001	80	19.25
E06000002	521.75	174
E06000057	147.75	35.5
E06000003	69.625	29.5
E06000004	368.75	128.75
E08000037	441.875	89
E08000021	1640	420.75
E08000022	294.625	81.75
E08000023	192.875	41.25
E08000024	451.125	85.25
E06000008	305.25	73.75
E06000009	191.375	57.75
E06000049	589.875	117.75
E06000050	417	74.5
E06000006	130.125	41.75
E06000007	247.5	68
E07000026	39	5
E07000027	39.875	6.75
E07000028	83.75	13
E07000029	30.75	3.75
E07000030	16.875	1.5
E07000031	99.75	10.75
E08000001	1429.375	417
E08000002	718.375	189
E08000003	13407.875	3007.5
E08000004	973.75	274
E08000005	948.125	256.25
E08000006	2230.5	567
E08000007	807.5	209.75
E08000008	659	188.5
E08000009	1963.625	413
E08000010	562.625	166
E07000117	106.375	21.75
E07000118	127.875	28.75
E07000119	62	17.75
E07000120	54.125	7
E07000121	258.375	32
E07000122	54.5	14.25
E07000123	631	116.75
E07000124	35.375	5.5
E07000125	66.375	8.25
E07000126	124.625	39.25
E07000127	102.5	18
E07000128	69.5	15.75
E08000011	236.125	80.25
E08000012	3959	842.5
E08000014	324.25	99.75
E08000013	129.875	33
E08000015	347.75	98.5
E06000011	230.875	66.25
E06000010	1030.75	235.25
E06000012	153.375	33.5
E06000013	183.75	46
E06000014	479.5	140.25
E07000163	36.75	7
E07000164	72.625	23.25
E07000165	344.875	97.75
E07000166	120.875	43
E07000167	28.75	8
E07000168	94.75	19.25
E07000169	75.625	12.75
E08000016	424.625	99
E08000017	711.125	177
E08000018	687.125	185.25
E08000019	5843.125	1335.25
E08000032	2942.375	617
E08000033	396.25	82.5
E08000034	2481.875	502
E08000035	8501	1881.25
E08000036	802.875	179.5
E06000015	2390.5	515.25
E06000016	6245	1324.75
E06000018	7463.625	1620.25
E06000017	64.625	16.75
E07000032	124.75	27
E07000033	99.5	15.75
E07000034	286.5	42.5
E07000035	38.625	5.5
E07000036	220.125	48.5
E07000037	122.875	23.25
E07000038	98	23.5
E07000039	163.625	25.5
E07000129	286.75	71.5
E07000130	535.25	90
E07000131	103.125	32.75
E07000132	119.25	28.25
E07000133	56.125	8.5
E07000134	85.5	23.5
E07000135	241.875	44.75
E07000136	107.75	24.5
E07000137	117.375	18.25
E07000138	307.375	33.5
E07000139	91.375	16.75
E07000140	118.25	17.75
E07000141	184.625	27.5
E07000142	89.25	13.25
E07000150	323.25	88.5
E07000151	125	35.75
E07000152	213.75	46.5
E07000153	344.875	78.5
E07000154	3333	882.75
E07000155	162.5	28
E07000156	787	160.5
E07000170	177	58
E07000171	146.75	32.5
E07000172	329.5	81.5
E07000173	557.25	141.25
E07000174	155	46.5
E07000175	118.75	45.5
