id	mothers	kids
IE011	1033.55	306.20000000000005
IE012	629.75	180.4
IE013	1009.5999999999999	260
IE021	7728.75	1603.8000000000002
IE022	1350.3	367.2
IE023	824.5	228.7
IE024	879.3000000000001	252.5
IE025	1533.45	423
NI1	158.35	39.3
NI2	86.925	19.2
NI3	51	11.4
NI4	61.2375	8.8
NI5	10.325	3.2
NI6	36.5	8
NI7	1144.35	285.2
NI8	46.400000000000006	14.5
NI9	206.17499999999998	54.1
NI10	87.025	15.6
NI11	18.075	5.7
NI12	197.52500000000003	38.4
NI19	221.95	59
NI13	67.5125	20.6
NI14	88.5625	16.2
NI15	78.575	19.2
NI16	14.075000000000001	6.6
NI17	19.3375	3.2
NI18	201.26250000000002	61.6
NI20	22.950000000000003	7.8
NI21	10.35	4.3
NI22	80.4375	21.2
NI23	194.58749999999998	52.7
NI24	145.7375	38.9
NI25	41.8375	10
NI26	26.125	2.1
S12000006	217.75	47.4
S12000021	173.29999999999998	34.7
S12000028	185.35	34.4
S12000005	127.6	25.9
S12000044	1159.65	241.5
S12000011	1006.5999999999999	165.6
S12000023	22.700000000000003	3.2
S12000018	143.1	17
S12000033	2337.3	414.4
S12000041	208.95	50.3
S12000013	33	6.2
S12000030	350.35	45.8
S12000045	659.5	96.8
S12000017	434.7	94.7
S12000010	220.3	29.1
S12000020	113	16.5
S12000014	521.75	101.5
S12000015	1231.7	213
S12000035	126.55000000000001	16.7
S12000027	43.5	4.6
S12000042	1394.7	242.1
S12000029	1090.85	218.2
S12000024	459.2	72.1
S12000008	172.3	38.4
S12000039	194.1	41.8
S12000038	616.05	120.5
S12000034	465.99999999999994	84.4
S12000040	650.15	161.4
S12000046	9768.2	2034.1
S12000026	156.7	30.1
S12000019	219	38.8
S12000036	5644.05	1020.5
E06000005	575.875	129.75
E06000047	1132.5	211.75
E06000001	269.625	59.5
E06000002	2543	653.5
E06000057	584	103.5
E06000003	209	37.5
E06000004	1486.75	316
E08000037	845.875	166.5
E08000021	5563.875	1220
E08000022	833.625	178.75
E08000023	831.5	220.25
E08000024	1421.625	300
E06000008	9845.125	2380.75
E06000009	495.5	118.75
E06000049	1496.375	285.5
E06000050	962	191.75
E06000006	190.625	49.5
E06000007	1088.25	245
E07000026	92	16
E07000027	134.75	21
E07000028	293	47.5
E07000029	118.625	31.5
E07000030	62.5	9.75
E07000031	177.625	27
E08000001	8838.5	2007.5
E08000002	3062.75	689
E08000003	20624.5	4510.75
E08000004	9984.75	2818.25
E08000005	7308.5	1710.5
E08000006	2218.75	488.25
E08000007	3148.875	572
E08000008	3330.125	693.75
E08000009	4222	914.75
E08000010	767.875	178
E07000117	2137.75	586.5
E07000118	379.875	84.25
E07000119	180.875	26.75
E07000120	2130.375	573.5
E07000121	877.25	102.25
E07000122	4022.75	1016.75
E07000123	5113.25	1035.25
E07000124	163.375	18.25
E07000125	758.625	204.5
E07000126	379.5	57.75
E07000127	190.375	27
E07000128	203.5	44.75
E08000011	251	78.5
E08000012	4329.125	954.5
E08000014	544.875	140
E08000013	317.5	51.25
E08000015	938.75	203
E06000011	651.5	148
E06000010	1447.25	347.25
E06000012	405.125	103.25
E06000013	1015.75	234.75
E06000014	1265.75	276.75
E07000163	213.625	54
E07000164	161.875	37.5
E07000165	462.375	125.5
E07000166	199.125	47.25
E07000167	71	9.75
E07000168	279.25	82
E07000169	145.25	28.75
E08000016	382	63.5
E08000017	1648.125	425.25
E08000018	2582.875	573.25
E08000019	11528.625	2709.5
E08000032	33723.625	8359.25
E08000033	4118.625	981.25
E08000034	16020.5	3704
E08000035	14363	2896.5
E08000036	2023.375	438.5
E06000015	7422.5	1711.5
E06000016	28250.75	4646.5
E06000018	9428	1579.75
E06000017	72.25	10.25
E07000032	225.875	29.75
E07000033	121.875	22
E07000034	311.125	77.75
E07000035	73.25	10
E07000036	333.5	43
E07000037	164.625	20
E07000038	201.125	26.75
E07000039	603.875	82.5
E07000129	1341.375	258.25
E07000130	3515.875	500
E07000131	615.75	90.5
E07000132	561.625	79.75
E07000133	96.875	19
E07000134	269.625	47.5
E07000135	3019.875	394.75
E07000136	241.25	43.75
E07000137	174.75	28.25
E07000138	443.5	64.75
E07000139	180	29
E07000140	182.375	17
E07000141	335	50
E07000142	205.375	33
E07000150	196.625	40.5
E07000151	268.625	40.5
E07000152	250.125	47.75
E07000153	731.625	156.25
E07000154	3215.375	633.5
E07000155	282.75	53
E07000156	1013.25	144.75
E07000170	249.875	54.5
E07000171	266.25	59.75
E07000172	948.625	155
E07000173	747.25	141.75
E07000174	277	52.5
E07000175	260	51.75
E07000176	1059.75	204.75
E06000019	439.375	75
E06000051	649.875	98.25
E06000021	4021.625	1090.5
E06000020	1615	352.25
E07000192	211.125	42.5
E07000193	1852.25	504.75
E07000194	360.5	50.75
E07000195	730.875	88.75
E07000196	539	69.75
E07000197	726.625	137.75
E07000198	115.625	20
E07000199	177.625	33
E07000218	149.875	23.5
E07000219	1888.25	334.25
E07000220	1164.5	149.25
E07000221	361.75	45.75
E07000222	2331.625	356.75
E08000025	68016.375	14323.5
E08000026	11519.5	2034.25
E08000027	4735	1123.75
E08000028	14704.75	2898.75
E08000029	3365.625	591.75
E08000030	9449.375	2012.25
E08000031	10508	1651.75
E07000234	428.625	76.25
E07000235	201.375	24.75
E07000236	946.875	238.25
E07000237	1050.625	285.75
E07000238	361.875	70.5
E07000239	386.25	70.75
E06000055	4175.75	848.75
E06000056	1480.25	289.75
E06000032	14192.5	3415.25
E06000031	4887.25	1160.75
E06000033	1416.75	308
E06000034	1383.125	304.25
E07000008	2831.875	380.25
E07000009	350	52
E07000010	320.125	44.5
E07000011	977	191.75
E07000012	1320.625	307.5
E07000066	1365.75	255.75
E07000067	496.75	85.75
E07000068	534.875	84
E07000069	211	25.5
E07000070	1180	210
E07000071	1564.5	249.75
E07000072	1476	211.75
E07000073	803.75	193.25
E07000074	157.25	22.25
E07000075	172.625	28.75
E07000076	239.875	43.75
E07000077	290	40
E07000095	592.75	113.75
E07000096	1604.875	366.75
E07000242	663.125	91.75
E07000098	1674.875	264
E07000099	1484.625	250
E07000240	2115	442.5
E07000243	1042.5	206
E07000102	1787.625	279
E07000103	3731.375	747.5
E07000241	1991.25	298
E07000143	308.625	58.25
E07000144	286.375	42
E07000145	301.875	66.25
E07000146	454.375	105.25
E07000147	101	16.5
E07000148	1478.5	255.25
E07000149	323.125	61.25
E07000200	152.125	23.5
E07000201	402	85.25
E07000202	1419.375	309.75
E07000203	165.25	24.25
E07000204	396	78.25
E07000205	409.875	83.5
E07000206	173.75	25.25
E09000007	9627.125	1282
E09000001	236.375	24.5
E09000012	7607.5	1389.5
E09000013	5362	680.5
E09000014	6551	946
E09000019	5500	636.25
E09000020	5281.875	562.5
E09000022	5715.5	768.25
E09000023	5572.125	920.5
E09000025	30561.375	5561
E09000028	7125	882.5
E09000030	25743.5	5214.75
E09000032	8615.25	1190.75
E09000033	11372.625	1602.5
E09000002	7297.25	1830.75
E09000003	14786	2131
E09000004	3194.625	450.25
E09000005	24961.125	3544.25
E09000006	3723.875	629.25
E09000008	12795.5	2221.25
E09000009	23341.25	3705
E09000010	9479.375	1616.75
E09000011	6107.25	916.75
E09000015	22422.5	3253.25
E09000016	2691.625	479
E09000017	16680.75	2797
E09000018	20379.375	3157
E09000021	5573.375	850.75
E09000024	7355.25	1216.5
E09000026	26800.625	4976.25
E09000027	3473.125	516.25
E09000029	4494.5	800.5
E09000031	13397.625	2531.75
E06000036	1259.75	205
E06000043	3193.75	405.75
E06000046	388.125	62.5
E06000035	3267.5	505
E06000042	4969.5	1032.5
E06000044	2818.125	645.5
E06000038	5106.375	1123.5
E06000039	13493	2790.5
E06000045	4308.75	884.5
E06000037	938.875	215.75
E06000040	3327.875	605.5
E06000041	2775.625	590.25
E07000004	2345.625	520.25
E07000005	1184.125	220
E07000006	1835.25	307
E07000007	4740.125	1058
E07000061	604	98.75
E07000062	492.5	94.5
E07000063	327.625	47
E07000064	258.875	46
E07000065	459.375	90
E07000084	1447.5	283.75
E07000085	467.875	59.75
E07000086	930.375	187.25
E07000087	361.625	53.25
E07000088	284.25	51.75
E07000089	595	129.75
E07000090	340.875	57.5
E07000091	494.125	71.75
E07000092	1800.75	255.75
E07000093	563.75	86.75
E07000094	581.75	106.75
E07000105	907.125	164.75
E07000106	1259.125	147
E07000107	1289.5	267.75
E07000108	405.875	91.5
E07000109	2638.375	414
E07000110	1167.875	223
E07000111	516.75	95.5
E07000112	653.875	115.25
E07000113	471.125	95.75
E07000114	569.25	92.75
E07000115	610.25	114.75
E07000116	675.5	135.75
E07000177	1403.125	332
E07000178	4380	784.75
E07000179	605	113.25
E07000180	686.75	116.25
E07000181	361.375	78.75
E07000207	1588.375	265
E07000208	1311.375	207.75
E07000209	1644.5	232.5
E07000210	524.75	85.5
E07000211	1542	301.5
E07000212	1314	193.5
E07000213	1891.25	341.5
E07000214	1172.125	193.5
E07000215	538.125	95
E07000216	548.75	65.75
E07000217	2807	621.75
E07000223	299.5	59.75
E07000224	480.75	70.5
E07000225	415.5	69.25
E07000226	3179.125	638.25
E07000227	600.125	105.5
E07000228	880.75	159.25
E07000229	767.625	136.5
E06000022	865	95.5
E06000028	1608.625	267.5
E06000023	5754.375	1184.25
E06000052	927.875	145.25
E06000053	1.75	1
E06000024	599.875	119
E06000026	932.875	158.25
E06000029	764	162.5
E06000025	1508.375	296.75
E06000030	3080.75	531.25
E06000027	334.5	60
E06000054	1510.625	285.25
E07000040	231.375	40
E07000041	849.75	141.25
E07000042	90.75	11.75
E07000043	188.625	36.75
E07000044	127.25	19.5
E07000045	193.75	32.75
E07000046	59.125	8.75
E07000047	57.375	11.25
E07000048	107.75	16.75
E07000049	153.25	56.75
E07000050	156	29
E07000051	65.375	12.75
E07000052	218.375	38
E07000053	121.625	19.25
E07000078	806.5	126
E07000079	172.25	27.75
E07000080	108.75	16.25
E07000081	1315.375	278.75
E07000082	196.25	26.75
E07000083	279.25	48.75
E07000187	237	41.75
E07000188	183.875	36.25
E07000189	316.625	59.5
E07000190	346.375	66.5
E07000191	46.75	7.25
W06000001	132.875	26
W06000002	526.375	141.25
W06000003	269.75	42.5
W06000004	250.375	47.25
W06000005	239.125	52.5
W06000006	425.75	89.25
W06000023	209.875	38.25
W06000008	267.75	57
W06000009	373	82
W06000010	462.25	82
W06000011	1770.25	334
W06000012	328.125	55.75
W06000013	310	44.75
W06000014	410.375	86.25
W06000015	7015.875	1535.25
W06000016	467.625	88
W06000024	161.375	26.5
W06000018	228	50.75
W06000019	108.5	34
W06000020	212.625	28.75
W06000021	175.25	23.25
W06000022	1959.625	430.5
