id	mothers	kids
S12000006	19.5	9.9
S12000021	12.049999999999999	6.7
S12000028	16.35	5.9
S12000005	6.35	2.4
S12000044	38.4	18.5
S12000011	18.85	9.1
S12000023	2.2	0.2
S12000018	11.85	3
S12000033	158.05	34.4
S12000041	11.7	6.3
S12000013	4.75	1.2
S12000030	28.35	7.3
S12000045	32	9.3
S12000017	37.199999999999996	14.2
S12000010	17.8	7.6
S12000020	10.5	3
S12000014	27.25	17
S12000015	90.7	22.5
S12000035	15.049999999999999	4.2
S12000027	4.75	1.6
S12000042	56.7	14.6
S12000029	45.349999999999994	19.7
S12000024	25.45	8.6
S12000008	15.55	4.9
S12000039	12.35	2.8
S12000038	30.799999999999997	11
S12000034	52.25	17.4
S12000040	33.65	16.9
S12000046	309.20000000000005	75.1
S12000026	16.45	7.1
S12000019	16.25	6.8
S12000036	366.3	98
E06000005	33.5	8.25
E06000047	94.25	20
E06000001	11.5	2.75
E06000002	83.25	24
E06000057	40.75	8.5
E06000003	17.375	4
E06000004	60.25	10.75
E08000037	94.625	23.5
E08000021	237.25	47.25
E08000022	55.625	11.75
E08000023	63.875	10.25
E08000024	82.125	15.25
E06000008	62.25	22.25
E06000009	33.625	9.75
E06000049	111.625	27.75
E06000050	76.75	18.5
E06000006	24.375	10.25
E06000007	52.75	15.5
E07000026	11.5	3.5
E07000027	11.125	2.25
E07000028	18	3
E07000029	8.25	2.25
E07000030	6.375	1
E07000031	15.5	2.25
E08000001	131.125	40
E08000002	117.875	30.5
E08000003	1059.875	252.5
E08000004	65.5	25
E08000005	91.375	28.25
E08000006	180	49
E08000007	162.75	34.75
E08000008	56.25	15.5
E08000009	172.125	45
E08000010	66.625	16.5
E07000117	30.625	7.75
E07000118	13.875	5.25
E07000119	21	3.25
E07000120	10.375	3.5
E07000121	44.625	5
E07000122	15	2.25
E07000123	73	19.75
E07000124	6.875	1.5
E07000125	17.625	3.25
E07000126	21.625	3.75
E07000127	18.75	4.5
E07000128	14	2.75
E08000011	30.625	6.75
E08000012	437.75	87.5
E08000014	83	19.75
E08000013	28.375	9.5
E08000015	84.75	19.5
E06000011	53.125	14.25
E06000010	143.5	47.75
E06000012	40.875	7
E06000013	36.5	8.5
E06000014	116.75	28.75
E07000163	6	2
E07000164	14.875	4.25
E07000165	58.625	25.25
E07000166	23.375	7.5
E07000167	7.25	1
E07000168	19	4.75
E07000169	9.375	3.25
E08000016	46.375	12
E08000017	112.375	33.5
E08000018	91.625	35.25
E08000019	662.375	167.25
E08000032	505.625	123.5
E08000033	63.75	13.5
E08000034	199.625	76
E08000035	733	148.75
E08000036	95.875	25.5
E06000015	328.75	88.25
E06000016	728	190.25
E06000018	411.375	99.75
E06000017	11.625	2.75
E07000032	18.75	3.5
E07000033	4	1.25
E07000034	19.25	3.5
E07000035	9.125	1
E07000036	23.875	3.5
E07000037	24.125	3.75
E07000038	13.75	3
E07000039	28.875	7.5
E07000129	39.5	11
E07000130	92.75	23
E07000131	25.375	7.25
E07000132	23.5	5.75
E07000133	7.875	1.5
E07000134	22.25	3.5
E07000135	78.875	13.75
E07000136	27.5	5
E07000137	16.125	4.25
E07000138	48.625	9
E07000139	22.875	5.75
E07000140	19	2.25
E07000141	33.875	6.5
E07000142	14.75	1.75
E07000150	22.25	7.5
E07000151	19.5	3.25
E07000152	24.25	6
E07000153	52.125	14
E07000154	184.25	55.75
E07000155	18.5	8
E07000156	41	13.5
E07000170	21.25	7.5
E07000171	30	5
E07000172	52	10.5
E07000173	36.75	11.75
E07000174	23.75	6
E07000175	24.25	7.5
E07000176	52.875	11.5
E06000019	38.5	7.25
E06000051	59.625	10.25
E06000021	156.125	37
E06000020	67.875	18.5
E07000192	15.75	4.25
E07000193	47.25	18.75
E07000194	19.75	6
E07000195	51.625	5.5
E07000196	33.875	7
E07000197	44.875	10.5
E07000198	8.375	2.75
E07000199	15.375	3.5
E07000218	6.5	2
E07000219	66.25	14.75
E07000220	42.5	11.5
E07000221	29.75	9.25
E07000222	158.5	38
E08000025	1634.125	475.25
E08000026	457.125	86.5
E08000027	118.875	32.75
E08000028	504.125	138.5
E08000029	141.375	24.75
E08000030	254.75	75.5
E08000031	536.75	111.5
E07000234	23.5	5.75
E07000235	16.25	4.75
E07000236	29.5	7.25
E07000237	42.75	11.75
E07000238	26.875	6
E07000239	21.875	3.75
E06000055	141.125	29.75
E06000056	122.625	33.75
E06000032	241.625	71.75
E06000031	191.125	52.75
E06000033	109	29.75
E06000034	112.25	35
E07000008	237.75	43
E07000009	47.5	9
E07000010	31.5	3
E07000011	77.375	17
E07000012	94	21.5
E07000066	89	18
E07000067	54.375	15.25
E07000068	38.375	8.5
E07000069	20.5	7.25
E07000070	76.5	22.75
E07000071	160.5	30
E07000072	120.25	24.5
E07000073	49.75	16
E07000074	17	3.75
E07000075	16	4
E07000076	33.25	6
E07000077	30	6.75
E07000095	113.5	25.25
E07000096	83.5	18.75
E07000242	56.375	11.5
E07000098	147.25	24.5
E07000099	103.375	22.75
E07000240	118.25	31
E07000243	55.75	12
E07000102	72.125	14.25
E07000103	124.75	23.75
E07000241	116.75	23.25
E07000143	52	13.25
E07000144	32.125	6
E07000145	34.625	8.25
E07000146	49.875	10
E07000147	12.375	5.25
E07000148	134	28.25
E07000149	29.625	9.75
E07000200	26	6.75
E07000201	129.875	27
E07000202	149.375	43
E07000203	22.875	4.5
E07000204	43.625	9
E07000205	38.375	10.75
E07000206	25.75	6.75
E09000007	1086.875	124.25
E09000001	25.25	1.75
E09000012	1698.625	397.5
E09000013	881.5	134.25
E09000014	1586.625	256
E09000019	1032.5	136.75
E09000020	925.75	94.5
E09000022	1304.25	201.25
E09000023	1150.75	237
E09000025	1169.375	209.5
E09000028	1398	206.25
E09000030	705.75	100.25
E09000032	981.75	145.75
E09000033	1383.75	224.5
E09000002	354	143
