id	mothers	kids
E06000005	19760	3019
E06000047	96920.75	13584
E06000001	17522.75	2663
E06000002	24849.25	3746
E06000057	54779.75	7517
E06000003	24943.5	3546.5
E06000004	36056.5	5556
E08000037	38384.5	5473.5
E08000021	53205	6052
E08000022	38631.5	5272.5
E08000023	27453.25	3707
E08000024	52384.75	6948.5
E06000008	19935.75	2976.5
E06000009	25922.75	3790
E06000049	65533.5	9242
E06000050	61883	8415.5
E06000006	24795	4068.5
E06000007	38618.75	5640
E07000026	16676.25	2387
E07000027	12628	1780
E07000028	20184	2904
E07000029	12519.5	1702
E07000030	8582.25	1123.5
E07000031	16425.25	2079.5
E08000001	45088.75	6480.5
E08000002	32772	5001
E08000003	89082.75	9140
E08000004	33801.25	4988.5
E08000005	34568.5	5050.5
E08000006	45725	6539
E08000007	49811.5	7415
E08000008	40492.75	6100
E08000009	38488	5783.5
E08000010	61737.5	9049
E07000117	14756.75	2183.5
E07000118	19773.75	2909
E07000119	12083	1742
E07000120	13743.25	2034.5
E07000121	26841.75	3311.5
E07000122	13421.75	2018
E07000123	24384.25	3239
E07000124	9511.25	1368
E07000125	12524	1892
E07000126	20594	2952
E07000127	20283.75	2802
E07000128	17293	2354.5
E08000011	29534.25	4230
E08000012	93967.5	10488
E08000014	48069.25	6737
E08000013	33137.25	4935
E08000015	58168.25	8646.5
E06000011	55904.5	7664.5
E06000010	51915.75	7647.5
E06000012	29976.25	4660
E06000013	29840.5	4692.5
E06000014	40184.25	4729.5
E07000163	8691.25	1135.5
E07000164	14485.75	2061.5
E07000165	27284.75	3908.5
E07000166	8369.75	1265.5
E07000167	8074.5	1098.5
E07000168	17695.75	2474.5
E07000169	15683.25	2315
E08000016	44185.5	6510
E08000017	55587.75	8695.5
E08000018	45850.25	6759
E08000019	99714.25	11895.5
E08000032	69684.75	10629
E08000033	35205.75	5281
E08000034	65690	9448
E08000035	142814.75	17981.5
E08000036	61328	8782
E06000015	42155.25	6070.5
E06000016	39216.25	5320
E06000018	53759.5	6078.5
E06000017	5892.25	912.5
E07000032	22335.5	3111
E07000033	14399.75	2038
E07000034	19172.5	2712
E07000035	11011.75	1488.5
E07000036	21662	3008.5
E07000037	16523.5	2330.5
E07000038	16994.5	2293
E07000039	17919.5	2630
E07000129	15970.75	2347
E07000130	28934.75	3785
E07000131	14446.75	2142.5
E07000132	18821.25	2675
E07000133	9017.75	1369.5
E07000134	17270.75	2575.5
E07000135	7246.25	921
E07000136	11898	1788.5
E07000137	20751	2981
E07000138	21066.75	2476.5
E07000139	19027.75	2631
E07000140	15310	2060.5
E07000141	23973	3590.5
E07000142	15116	2063
E07000150	12340.25	2068
E07000151	13636.75	2102.5
E07000152	15759.25	2430.5
E07000153	17370	2754
E07000154	39211.25	6121.5
E07000155	15145.75	2203
E07000156	12774.5	2133.5
E07000170	23156	3536.5
E07000171	20001	2926
E07000172	19267.5	2670
E07000173	20128.25	2781.5
E07000174	20052.75	3051
E07000175	20328	2986.5
E07000176	19215.25	2824.5
E06000019	30848	4495.5
E06000051	51426	7480.5
E06000021	44672.5	6809.5
E06000020	30871	4950
E07000192	19216.5	2845.5
E07000193	19565.75	2806.5
E07000194	17358.75	2458
E07000195	22397.75	2915.5
E07000196	17824.25	2257.5
E07000197	22320.5	3225
E07000198	16595.25	2219.5
E07000199	15385	2349
E07000218	11246.25	1611
E07000219	22321	3362
E07000220	17548.25	2731.5
E07000221	20062.5	2763
E07000222	25067	3315
E08000025	134405.5	17473
E08000026	49241.75	6983.5
E08000027	53378.75	7663.5
E08000028	43318.25	6691.5
E08000029	33463.75	4687.5
E08000030	40423.25	6140
E08000031	34093.5	5060
E07000234	15760.5	2187.5
E07000235	11395.25	1554
E07000236	15909.75	2349.5
E07000237	19987	2746.5
E07000238	19615	2657
E07000239	17086.25	2408
E06000055	25416	3617.5
E06000056	46584.75	7222.5
E06000032	24263.75	3172.5
E06000031	32512.75	4994
E06000033	31463	4758.5
E06000034	28819	4543.5
E07000008	25753.75	2623.5
E07000009	15632.5	2519
E07000010	16900	2458.5
E07000011	31070.5	4508
E07000012	26037	3943
E07000066	32249.5	4844.5
E07000067	27564.5	4417.5
E07000068	12811.25	1774.5
E07000069	14688	2030
E07000070	31353.75	4435
E07000071	32601.25	4594
E07000072	21596	3111.5
E07000073	15199.75	2423.5
E07000074	10259.75	1413
E07000075	14450.25	2052
E07000076	20875.75	3246
E07000077	13956.25	2110.5
E07000095	17134	2611.5
E07000096	25805.25	4020.5
E07000242	26154.75	3844
E07000098	16936	2646
E07000099	22257.5	3374
E07000240	24533	4284
E07000243	15539	2313
E07000102	14395.75	2191.5
E07000103	14655.5	2052.5
E07000241	19231.5	2618.5
E07000143	22124.75	3425.5
E07000144	20698.75	2775
E07000145	16713.5	2546
E07000146	24484.5	3724
E07000147	14366	2098
E07000148	28315.75	3616.5
E07000149	20969.5	3159
E07000200	14405	2094.5
E07000201	11291.75	1748.5
E07000202	25389.25	3755.5
E07000203	16042.5	2515
E07000204	19493.75	3075
E07000205	19011	2888
E07000206	18888.75	2938.5
E09000007	39655.5	3684.5
E09000001	1167.5	97
E09000012	41670	4672.5
E09000013	37806.25	3608.5
E09000014	42352.75	4903.5
E09000019	42666	3459
E09000020	27990.25	3073.5
E09000022	54507.75	4661.5
E09000023	38581.75	4716
E09000025	24314.5	2839.5
E09000028	45245.5	4398.5
E09000030	36284.75	2325.5
E09000032	70119.75	7102
E09000033	35501.5	3110
E09000002	23834.5	3864
E09000003	51510.5	7880.5
E09000004	37693.25	5434
E09000005	29499.25	3503.5
E09000006	52050.75	7592
E09000008	43514.25	6181.5
E09000009	41202.5	5396
E09000010	42276.75	6034.5
E09000011	37239.5	5347.5
E09000015	19675.75	2592
E09000016	40046.75	5351.5
E09000017	34682.75	4630
E09000018	31176.25	4409.5
E09000021	27721.75	3730.5
E09000024	32118.5	4395.5
E09000026	24361	3204.5
E09000027	35592.75	5761
E09000029	32036.25	4475.5
E09000031	33355.75	4387.5
E06000036	21890.25	3496.5
E06000043	59585.25	6453.5
E06000046	22041.25	2953
E06000035	48565.75	7389
E06000042	42929.5	6804.5
E06000044	40495	5416.5
E06000038	28224.75	3735.5
E06000039	15188.5	2291
E06000045	47642.75	5919.5
E06000037	28227.5	4478
E06000040	24031.5	3693
E06000041	26110	3915
E07000004	30388.5	4644.5
E07000005	14167.25	2338
E07000006	9776	1457.5
E07000007	27206.5	3915
E07000061	17236.5	2283.5
E07000062	16502.25	2487
E07000063	15758.75	2260.5
E07000064	12548	1906
E07000065	23504.25	3401.5
E07000084	31888.25	4915
E07000085	19474	2934.5
E07000086	23318.25	3488
E07000087	19288.75	2580.5
E07000088	15567.25	2440.5
E07000089	16048.75	2576.5
E07000090	20829.75	3071
E07000091	27811.5	4010
E07000092	17687.25	2737
E07000093	20312.5	3152
E07000094	21115.75	3005
E07000105	21074.25	3491
E07000106	28092.5	3367
E07000107	18121.75	2720.5
E07000108	18828	2862.5
E07000109	16509.75	2477.5
E07000110	28225.5	4131.5
E07000111	19622.5	3209
E07000112	17608.25	2766.5
E07000113	25048.75	3989
E07000114	22879.25	3694
E07000115	22027.25	3300
E07000116	20707.25	3317.5
E07000177	26287	4174.5
E07000178	31298.25	3123.5
E07000179	23803.5	3843.5
E07000180	21026	3275
E07000181	19014.25	2961
E07000207	22652.5	4038.5
E07000208	12561	1851
E07000209	25251.5	3437
E07000210	13832	2040
E07000211	24488	3848.5
E07000212	14752	1994
E07000213	16387.25	2348
E07000214	14391.75	2183
E07000215	14165.25	2202.5
E07000216	20555.5	3442.5
E07000217	16639.5	2687.5
E07000223	10599.75	1581.5
E07000224	24106.5	3427.5
E07000225	18340.5	2579.5
E07000226	19029	2793.5
E07000227	22394.25	3202.5
E07000228	24547.5	3868
E07000229	18561	2730.5
E06000022	33215	4219.5
E06000028	36345.25	4482
E06000023	85841.25	10780.5
E06000052	91089.75	12936.5
E06000053	399.5	47
E06000024	34823.75	5343
E06000026	51806.5	7115.5
E06000029	26009.5	3778.5
E06000025	48735	7191.5
E06000030	39527.75	5910.5
E06000027	21643.75	3146
E06000054	83219	13142.5
E07000040	19482.25	2743.5
E07000041	24903.75	3032.5
E07000042	13363.5	2161
E07000043	15537.5	2405
E07000044	12666	1716.5
E07000045	20010.5	2786.5
E07000046	10109.25	1513.5
E07000047	8378.5	1252
E07000048	6949	986
E07000049	12548	1724
E07000050	10941.25	1688
E07000051	6984.5	1037.5
E07000052	14475.5	2050
E07000053	10849.25	1633.5
E07000078	23329.25	2991
E07000079	13487.75	1857.5
E07000080	13700	1954.5
E07000081	22785	3460.5
E07000082	19180.25	2894
E07000083	14346.75	2118.5
E07000187	18915	2808.5
E07000188	19747	3067.5
E07000189	26927.25	4204
E07000190	19651.5	2979
E07000191	4990	706
W06000001	11519.5	1805.5
W06000002	21165.25	3168.5
W06000003	18335.25	2784
W06000004	15935.75	2513.5
W06000005	28350.75	4500.5
W06000006	25354	4086.5
W06000023	20845.75	3163.5
W06000008	13350.25	1637
W06000009	20084	3177.5
W06000010	31750.25	4913
W06000011	43773.25	5689
W06000012	25655	3593.5
W06000013	26001.75	3549
W06000014	22407.25	3368.5
W06000015	69054.25	8184.5
W06000016	45214	6837
W06000024	11513	1655
W06000018	34755.25	5403.5
W06000019	13593	1862
W06000020	16992	2587
W06000021	14949.25	2265
W06000022	26381	3944.5
IE011	101402.79999999999	18712.199999999997
IE012	57312.5	10739.4
IE013	88294.6	14842
IE021	275898	38833.8
IE022	113757.79999999999	21786.2
IE023	75989.5	12897.2
IE024	100171.29999999999	17609
IE025	135394.2	22706
NI1	10969.35	1872.8
NI2	14908.8	2233.2
NI3	11868.75	2109.4
NI4	12573.675000000001	1957.8
NI5	6409.325000000001	1034.2
NI6	9815.375	1806
NI7	62073.85	8203.2
NI8	7829.9	1157
NI9	13014.925000000001	1862.6
NI10	11579.275000000001	1641.6
NI11	7819.075	1353.2
NI12	19339.275	3402.4
NI19	23157.324999999997	3637
NI13	13708.324999999999	2342.6
NI14	12031.375	2204.2
NI15	11961.2	1957.2
NI16	6195.825000000001	918.6
NI17	6960.775	1143.2
NI18	24574.575	4137.6
NI20	9322.825	1726.8
NI21	3139.725	511.8
NI22	20747.375	3708.2
NI23	17509.275	2763.2
NI24	14932.925	2238.4
NI25	10347.525	1752
NI26	8172.875	1331.6
S12000006	25678	3692.4
S12000021	25994.8	3605.2
S12000028	19859.6	2621.4
S12000005	9929.1	1428.4
S12000044	68706.9	9704
S12000011	15283.599999999999	2199.6
S12000023	3757.7000000000003	537.2
S12000018	15610.099999999999	1950
S12000033	46688.3	4657.4
S12000041	20517.2	2926.8
S12000013	4541	624.2
S12000030	17578.6	2075.8
S12000045	17669	2360.8
S12000017	41657.200000000004	6011.2
S12000010	18703.8	2857.6
S12000020	16967	2500
S12000014	30891.5	4467
S12000015	69822.2	9754
S12000035	14264.800000000001	1971.2
S12000027	4182.5	636.6
S12000042	30041.2	3385.6
S12000029	60510.100000000006	8261.2
S12000024	25557.7	3441.6
S12000008	24018.800000000003	3235.4
S12000039	18189.6	2465.8
S12000038	34178.8	4524
S12000034	47307.5	7183.4
S12000040	35716.4	5334.4
S12000046	124010.70000000001	12641.6
S12000026	19439.2	2777.6
S12000019	15816.5	2352.8
S12000036	103177.3	11120
