id	mothers	kids
IE011	1405.0500000000002	334.20000000000005
IE012	853.25	207.4
IE013	1276.1	292
IE021	11664.75	1919.8000000000002
IE022	1915.3000000000002	429.2
IE023	1196.5	260.7
IE024	1197.8	293.5
IE025	2052.45	464
S12000006	127.25	20.9
S12000021	105.05	15.2
S12000028	113.6	16.9
S12000005	35.349999999999994	5.9
S12000044	314.15	54
S12000011	164.85	25.1
S12000023	14.700000000000001	1.2
S12000018	81.85	7
S12000033	1340.05	116.4
S12000041	108.45	14.8
S12000013	11.75	2.2
S12000030	545.1	11.3
S12000045	219	21.3
S12000017	228.7	35.7
S12000010	119.30000000000001	14.1
S12000020	68.5	10.5
S12000014	138	16.5
S12000015	917.2	64.5
S12000035	77.8	9.7
S12000027	36.75	3.6
S12000042	614.2	42.1
S12000029	397.6	52.7
S12000024	201.95	31.1
S12000008	103.55000000000001	16.9
S12000039	74.85000000000001	6.8
S12000038	316.05	28.5
S12000034	318.75	40.4
S12000040	226.4	41.9
S12000046	4944.700000000001	640.6
S12000026	93.94999999999999	11.6
S12000019	83.75	14.8
S12000036	4340.55	294.5
NI1	84.725	14.8
NI2	75.05	14.2
NI3	42.625	10.4
NI4	54.925	7.8
NI5	13.7	2.2
NI6	43.5625	6.5
NI7	1064.9125	167.7
NI8	48.525000000000006	9.5
NI9	200.17499999999998	34.1
NI10	96.8375	13.6
NI11	27.075	3.7
NI12	158.275	30.4
NI19	111.13749999999999	28
NI13	54.824999999999996	12.6
NI14	46.81250000000001	9.7
NI15	39.7	10.7
NI16	11.950000000000001	4.6
NI17	23.275	3.2
NI18	163.13750000000002	21.1
NI20	34.325	10.8
NI21	10.475000000000001	1.3
NI22	65.625	8.2
NI23	231.58749999999998	18.7
NI24	118.1125	13.4
NI25	28.275000000000002	6.5
NI26	19.25	5.6
E06000005	221.375	31.75
E06000047	995	84.75
E06000001	124.625	23.5
E06000002	508.75	92.5
E06000057	278.75	51.5
E06000003	104	17.5
E06000004	541.25	78.5
E08000037	569.125	72.5
E08000021	3122.875	267
E08000022	440.125	71.25
E08000023	175	31.25
E08000024	843.375	85
E06000008	468.625	119.75
E06000009	277.75	42.75
E06000049	674.625	95
E06000050	526.75	79.75
E06000006	157.875	24
E06000007	446.25	84.5
E07000026	67.75	9.5
E07000027	97.75	11
E07000028	170.75	20.5
E07000029	84.375	13.5
E07000030	47.5	2.25
E07000031	150.875	9.5
E08000001	892.75	252
E08000002	568.5	99.5
E08000003	7241.5	887.25
E08000004	499.75	119.25
E08000005	703.5	158.5
E08000006	1309.25	168.75
E08000007	860.375	162.5
E08000008	445.375	90.25
E08000009	1030.75	144.75
E08000010	460.875	75.5
E07000117	173.5	44.5
E07000118	136.625	24.75
E07000119	105.125	8.25
E07000120	155.875	28.5
E07000121	708	33.25
E07000122	174	55.75
E07000123	740	79.25
E07000124	60.625	4.75
E07000125	128.875	23
E07000126	148.25	24.25
