GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	N_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE	N_ACE
01	0.75	0.72	1.06	1.07	0.81	0.7	-57342	-61652	1907	3857	668	-2122
10	0.63	0.62	1.0	0.78	0.91	0.82	-1770	-1783	-1	14	-1	0
10001	0.64	0.64	0.77	0.5	1.04	0.82	-438	-437	-2	-1	2	0
10010	0.65	0.64	0.0	0.84	0.0	1.77	-74	-73	0	-1	0	0
10011	0.62	0.63	0.0	0.55	0.0	0.0	-28	-27	-1	1	-1	0
10015	0.62	0.6	0.0	0.92	2.03	2.32	-101	-106	0	5	0	1
10025	0.66	0.66	6.25	0.0	0.0	0.0	-56	-56	2	-2	0	0
11	0.78	0.78	0.84	1.33	0.13	0.72	-258	-254	1	0	-4	-1
11105	0.73	0.72	0.87	1.34	0.24	0.58	-140	-136	0	0	-3	-1
11110	0.77	0.77	1.44	0.0	0.0	1.8	-33	-33	1	-2	0	1
12	0.69	0.67	1.15	1.13	0.78	1.04	-2449	-2573	59	53	4	8
12205	0.66	0.63	1.24	0.51	0.78	1.05	-848	-913	54	-9	11	8
12210	0.66	0.66	1.11	0.0	0.0	0.0	-77	-76	3	0	-3	-1
12215	0.74	0.7	1.19	2.18	1.19	1.52	-108	-120	-1	12	1	1
12220	0.73	0.68	1.28	2.84	3.46	0.0	-93	-104	2	8	1	0
12225	0.66	0.64	0.98	1.12	0.75	1.61	-386	-399	-1	14	-1	2
13	0.7	0.68	1.19	1.15	0.93	0.79	-2000	-2072	9	54	3	6
13305	0.63	0.62	2.38	1.1	0.82	0.43	-353	-363	5	7	0	-1
13310	0.75	0.75	0.86	1.02	0.44	0.46	-259	-268	2	6	0	1
13320	0.69	0.67	1.2	1.02	0.99	1.17	-201	-215	0	10	-1	4
13328	0.62	0.61	0.0	0.84	0.0	0.0	-97	-96	0	1	-2	1
13330	0.67	0.62	4.26	1.11	0.0	0.0	-44	-47	1	3	-1	0
13335	0.56	0.54	2.19	1.03	2.32	1.29	-108	-109	1	0	1	0
24	0.69	0.67	1.0	0.89	0.84	0.95	-19516	-20376	310	187	218	146
24403	0.57	0.55	0.0	0.0	3.31	0.0	-78	-79	0	-2	1	2
24404	0.56	0.55	9.58	0.0	1.59	7.45	-244	-246	2	-2	1	2
24405	0.56	0.54	0.0	0.99	0.0	6.26	-106	-110	2	2	0	0
24406	0.7	0.69	1.04	0.78	0.0	0.0	-70	-73	1	0	1	1
24408	0.64	0.63	1.76	0.65	0.0	2.64	-554	-557	4	-5	-1	5
24410	0.68	0.66	0.0	1.35	0.0	5.26	-92	-93	1	0	1	1
24411	0.78	0.8	1.89	0.0	0.0	0.0	-41	-39	1	-3	0	0
24412	0.68	0.65	2.89	0.85	0.0	0.0	-78	-80	1	0	0	1
24421	0.63	0.61	1.04	0.75	0.81	2.11	-2641	-2680	17	-11	9	23
24428	0.67	0.67	0.0	0.0	2.63	0.87	-78	-79	1	-1	1	1
24430	0.54	0.54	0.0	0.0	0.0	0.0	-132	-131	0	-2	0	1
24433	0.69	0.68	1.78	0.94	0.97	2.06	-401	-424	11	4	1	8
24435	0.67	0.65	3.02	2.26	0.0	0.0	-74	-77	0	2	0	1
