GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	N_CRR	Z_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE	N_ACE	Z_ACE
Area Outside Region	0.78	0.72	0.0	0.0	0.93	0.0	0.0	-2	-1	0	0	-1	0	0
Auckland Region	0.86	0.78	0.82	0.62	0.97	0.78	0.81	-1213	-2059	-12	17	665	171	5
Bay of Plenty Region	1.06	0.94	1.05	0.84	1.27	0.98	1.15	-191	-449	-1	6	205	44	3
Canterbury Region	0.86	0.8	0.9	0.62	1.05	0.92	1.08	-931	-1233	2	7	199	87	6
Gisborne Region	1.24	1.04	2.17	1.97	1.39	1.56	1.78	34	-28	0	1	56	3	1
Hawke's Bay Region	1.1	0.95	1.1	1.23	1.37	1.11	0.6	-113	-271	-1	1	143	17	-2
Manawatu-Wanganui Region	1.01	0.89	0.9	0.92	1.27	1.02	1.35	-116	-323	1	1	182	18	4
Marlborough Region	0.99	0.88	1.88	1.07	1.38	0.97	0.49	-67	-93	1	1	23	1	0
Nelson Region	0.9	0.82	2.91	0.96	1.22	0.66	1.73	-110	-134	2	-1	19	3	1
Northland Region	1.2	1.02	1.21	0.93	1.43	1.25	1.77	-52	-212	1	0	144	13	3
Otago Region	0.73	0.69	1.07	0.33	0.91	0.74	1.1	-396	-475	3	3	55	17	1
Southland Region	1.0	0.91	0.73	0.75	1.3	0.84	1.37	-59	-131	0	1	65	5	1
Taranaki Region	1.08	0.97	0.8	0.87	1.39	1.37	2.1	-62	-155	-1	1	77	14	2
Tasman Region	0.88	0.82	1.61	0.99	1.2	1.17	1.58	-188	-192	1	0	1	1	0
Total - Regional Council Areas	0.91	0.82	0.93	0.65	1.09	0.83	0.93	-4485	-7458	7	45	2411	485	26
Waikato Region	1.04	0.93	1.12	0.81	1.25	0.99	0.9	-123	-563	5	1	367	65	0
Wellington Region	0.81	0.71	0.93	0.68	1.01	0.83	0.99	-836	-1040	2	3	161	34	4
West Coast Region	0.97	0.92	0.0	0.69	1.24	0.6	0.0	-61	-68	0	0	6	1	0
